Sl No.,Timestamp,Source,Destination,Volume,Protocol
1,2015-10-20 15:10:34 Z,192.168.88.61,192.168.88.1,227,udp
2,2015-10-20 15:10:42 Z,192.168.89.1,192.168.89.2,51,icmp
3,2015-10-20 15:10:42 Z,192.168.89.2,8.8.8.8,1,udp
4,2015-10-20 15:10:48 Z,192.168.89.2,8.8.8.8,3,udp
5,2015-10-20 15:10:52 Z,192.168.89.2,8.8.8.8,1,udp
6,2015-10-20 15:11:02 Z,192.168.89.2,8.8.8.8,1,udp
7,2015-10-20 15:11:12 Z,192.168.89.2,8.8.8.8,1,udp
8,2015-10-20 15:11:22 Z,192.168.89.2,8.8.8.8,1,udp
9,2015-10-20 15:11:32 Z,192.168.89.2,8.8.8.8,1,udp
10,2015-10-20 15:11:42 Z,192.168.89.2,8.8.8.8,1,udp
11,2015-10-20 15:11:52 Z,192.168.89.2,8.8.8.8,1,udp
12,2015-10-20 15:12:02 Z,192.168.89.2,8.8.8.8,1,udp
13,2015-10-20 15:12:12 Z,192.168.89.2,8.8.8.8,1,udp
14,2015-10-20 15:12:22 Z,192.168.89.2,8.8.8.8,1,udp
15,2015-10-20 15:12:32 Z,192.168.89.2,8.8.8.8,1,udp
16,2015-10-20 15:12:42 Z,192.168.89.2,8.8.8.8,1,udp
17,2015-10-20 15:12:52 Z,192.168.89.2,8.8.8.8,1,udp
18,2015-10-20 15:13:02 Z,192.168.89.2,8.8.8.8,1,udp
19,2015-10-20 15:13:12 Z,192.168.89.2,8.8.8.8,1,udp
20,2015-10-20 15:13:22 Z,192.168.89.2,8.8.8.8,1,udp
21,2015-10-20 15:13:32 Z,192.168.89.2,8.8.8.8,1,udp
22,2015-10-20 15:13:42 Z,192.168.89.2,8.8.8.8,1,udp
23,2015-10-20 15:13:52 Z,192.168.89.2,8.8.8.8,1,udp
24,2015-10-20 15:14:02 Z,192.168.89.2,8.8.8.8,1,udp
25,2015-10-20 15:14:12 Z,192.168.89.2,8.8.8.8,1,udp
26,2015-10-20 15:14:22 Z,192.168.89.2,8.8.8.8,1,udp
27,2015-10-20 15:14:32 Z,192.168.89.2,8.8.8.8,1,udp
28,2015-10-20 15:14:42 Z,192.168.89.2,8.8.8.8,1,udp
29,2015-10-20 15:14:52 Z,192.168.89.2,8.8.8.8,1,udp
30,2015-10-20 15:15:02 Z,192.168.89.2,8.8.8.8,1,udp
31,2015-10-20 15:15:12 Z,192.168.89.2,8.8.8.8,1,udp
32,2015-10-20 15:15:22 Z,192.168.89.2,8.8.8.8,1,udp
33,2015-10-20 15:15:32 Z,192.168.89.2,8.8.8.8,1,udp
34,2015-10-20 15:15:42 Z,192.168.89.2,8.8.8.8,1,udp
35,2015-10-20 15:15:48 Z,192.168.89.2,8.8.8.8,3,udp
36,2015-10-20 15:15:52 Z,192.168.89.2,8.8.8.8,1,udp
37,2015-10-20 15:16:02 Z,192.168.89.2,8.8.8.8,1,udp
38,2015-10-20 15:16:12 Z,192.168.89.2,8.8.8.8,1,udp
39,2015-10-20 15:16:22 Z,192.168.89.2,8.8.8.8,1,udp
40,2015-10-20 15:16:32 Z,192.168.89.2,8.8.8.8,1,udp
41,2015-10-20 15:16:42 Z,192.168.89.2,8.8.8.8,1,udp
42,2015-10-20 15:16:52 Z,192.168.89.2,8.8.8.8,1,udp
43,2015-10-20 15:17:02 Z,192.168.89.2,8.8.8.8,1,udp
44,2015-10-20 15:17:12 Z,192.168.89.2,8.8.8.8,1,udp
45,2015-10-20 15:17:22 Z,192.168.89.2,8.8.8.8,1,udp
46,2015-10-20 15:17:32 Z,192.168.89.2,8.8.8.8,1,udp
47,2015-10-20 15:17:42 Z,192.168.89.2,8.8.8.8,1,udp
48,2015-10-20 15:17:52 Z,192.168.89.2,8.8.8.8,1,udp
49,2015-10-20 15:18:02 Z,192.168.89.2,8.8.8.8,1,udp
50,2015-10-20 15:22:02 Z,192.168.89.2,8.8.8.8,1,udp
51,2015-10-20 15:22:02 Z,192.168.89.1,192.168.89.2,2684,icmp
52,2015-10-20 15:22:02 Z,192.168.88.61,192.168.88.1,16,udp
53,2015-10-20 15:22:12 Z,192.168.89.2,8.8.8.8,1,udp
54,2015-10-20 15:22:22 Z,192.168.89.2,8.8.8.8,1,udp
55,2015-10-20 15:22:32 Z,192.168.89.2,8.8.8.8,1,udp
56,2015-10-20 15:22:48 Z,192.168.88.61,192.168.88.1,61,udp
57,2015-10-20 15:22:52 Z,192.168.89.2,8.8.8.8,1,udp
58,2015-10-20 15:23:02 Z,192.168.89.2,8.8.8.8,1,udp
59,2015-10-20 15:23:12 Z,192.168.89.2,8.8.8.8,1,udp
60,2015-10-20 15:23:22 Z,192.168.89.2,8.8.8.8,1,udp
61,2015-10-20 15:23:32 Z,192.168.89.2,8.8.8.8,1,udp
62,2015-10-20 15:23:42 Z,192.168.89.2,8.8.8.8,1,udp
63,2015-10-20 15:23:52 Z,192.168.89.2,8.8.8.8,1,udp
64,2015-10-20 15:24:02 Z,192.168.89.2,8.8.8.8,1,udp
65,2015-10-20 15:24:12 Z,192.168.89.2,8.8.8.8,1,udp
66,2015-10-20 15:24:22 Z,192.168.89.2,8.8.8.8,1,udp
67,2015-10-20 15:24:32 Z,192.168.89.2,8.8.8.8,1,udp
68,2015-10-20 15:24:42 Z,192.168.89.2,8.8.8.8,1,udp
69,2015-10-20 15:25:11 Z,192.168.88.61,192.168.88.1,8,udp
70,2015-10-20 15:25:12 Z,192.168.89.2,8.8.8.8,1,udp
71,2015-10-20 15:25:22 Z,192.168.89.2,8.8.8.8,1,udp
72,2015-10-20 15:25:31 Z,10.10.10.20,10.10.10.10,12,tcp
73,2015-10-20 15:25:31 Z,10.10.10.10,10.10.10.30,1,tcp
74,2015-10-20 15:25:32 Z,10.10.10.30,10.10.10.10,2,tcp
75,2015-10-20 15:25:32 Z,10.10.10.10,10.10.10.30,1,tcp
76,2015-10-20 15:25:32 Z,10.10.10.10,10.10.10.30,1,tcp
77,2015-10-20 15:25:33 Z,10.10.10.30,10.10.10.10,2,tcp
78,2015-10-20 15:25:33 Z,10.10.10.10,10.10.10.30,1,tcp
79,2015-10-20 15:25:33 Z,10.10.10.10,10.10.10.30,1,tcp
80,2015-10-20 15:25:34 Z,10.10.10.30,10.10.10.10,2,tcp
81,2015-10-20 15:26:19 Z,192.168.88.61,192.168.88.1,1495,udp
82,2015-10-20 15:26:22 Z,192.168.89.2,8.8.8.8,1,udp
83,2015-10-20 15:26:32 Z,192.168.89.2,8.8.8.8,1,udp
84,2015-10-20 15:26:42 Z,192.168.89.2,8.8.8.8,1,udp
85,2015-10-20 15:26:52 Z,192.168.89.2,8.8.8.8,1,udp
86,2015-10-20 15:27:02 Z,192.168.89.2,8.8.8.8,1,udp
87,2015-10-20 15:27:12 Z,192.168.89.2,8.8.8.8,1,udp
88,2015-10-20 15:27:22 Z,192.168.89.2,8.8.8.8,1,udp
89,2015-10-20 15:27:32 Z,192.168.89.2,8.8.8.8,1,udp
90,2015-10-20 15:27:42 Z,192.168.89.2,8.8.8.8,1,udp
91,2015-10-20 15:27:52 Z,192.168.89.2,8.8.8.8,1,udp
92,2015-10-20 15:28:02 Z,192.168.89.2,8.8.8.8,1,udp
93,2015-10-20 15:28:12 Z,192.168.89.2,8.8.8.8,1,udp
94,2015-10-20 15:28:22 Z,192.168.89.2,8.8.8.8,1,udp
95,2015-10-20 15:28:32 Z,192.168.89.2,8.8.8.8,1,udp
96,2015-10-20 15:28:42 Z,192.168.89.2,8.8.8.8,1,udp
97,2015-10-20 15:28:52 Z,192.168.89.2,8.8.8.8,1,udp
98,2015-10-20 15:29:02 Z,192.168.89.2,8.8.8.8,1,udp
99,2015-10-20 15:29:12 Z,192.168.89.2,8.8.8.8,1,udp
100,2015-10-20 15:29:22 Z,192.168.89.2,8.8.8.8,1,udp
101,2015-10-20 15:29:32 Z,192.168.89.2,8.8.8.8,1,udp
102,2015-10-20 15:29:42 Z,192.168.89.2,8.8.8.8,1,udp
103,2015-10-20 15:29:52 Z,192.168.89.2,8.8.8.8,1,udp
104,2015-10-20 15:30:02 Z,192.168.89.2,8.8.8.8,1,udp
105,2015-10-20 15:30:12 Z,192.168.89.2,8.8.8.8,1,udp
106,2015-10-20 15:30:22 Z,192.168.89.2,8.8.8.8,1,udp
107,2015-10-20 15:30:32 Z,192.168.89.2,8.8.8.8,1,udp
108,2015-10-20 15:30:42 Z,192.168.89.2,8.8.8.8,1,udp
109,2015-10-20 15:30:48 Z,192.168.89.2,8.8.8.8,3,udp
110,2015-10-20 15:30:52 Z,192.168.89.2,8.8.8.8,1,udp
111,2015-10-20 15:31:02 Z,192.168.89.2,8.8.8.8,1,udp
112,2015-10-20 15:31:12 Z,192.168.89.2,8.8.8.8,1,udp
113,2015-10-20 15:31:22 Z,192.168.89.2,8.8.8.8,1,udp
114,2015-10-20 15:31:32 Z,192.168.89.2,8.8.8.8,1,udp
115,2015-10-20 15:31:42 Z,192.168.89.2,8.8.8.8,1,udp
116,2015-10-20 15:31:52 Z,192.168.89.2,8.8.8.8,1,udp
117,2015-10-20 15:32:02 Z,192.168.89.2,8.8.8.8,1,udp
118,2015-10-20 15:32:12 Z,192.168.89.2,8.8.8.8,1,udp
119,2015-10-20 15:32:22 Z,192.168.89.2,8.8.8.8,1,udp
120,2015-10-20 15:32:32 Z,192.168.89.2,8.8.8.8,1,udp
121,2015-10-20 15:32:42 Z,192.168.89.2,8.8.8.8,1,udp
122,2015-10-20 15:32:52 Z,192.168.89.2,8.8.8.8,1,udp
123,2015-10-20 15:33:02 Z,192.168.89.2,8.8.8.8,1,udp
124,2015-10-20 15:33:12 Z,192.168.89.2,8.8.8.8,1,udp
125,2015-10-20 15:33:22 Z,192.168.89.2,8.8.8.8,1,udp
126,2015-10-20 15:33:32 Z,192.168.89.2,8.8.8.8,1,udp
127,2015-10-20 15:33:42 Z,192.168.89.2,8.8.8.8,1,udp
128,2015-10-20 15:33:52 Z,192.168.89.2,8.8.8.8,1,udp
129,2015-10-20 15:34:02 Z,192.168.89.2,8.8.8.8,1,udp
130,2015-10-20 15:34:03 Z,192.168.88.52,192.168.88.1,1,udp
131,2015-10-20 15:34:03 Z,192.168.89.2,17.253.34.253,1,udp
132,2015-10-20 15:34:05 Z,192.168.88.52,192.168.88.1,1,udp
133,2015-10-20 15:34:11 Z,10.10.10.30,10.10.10.10,4,tcp
134,2015-10-20 15:34:11 Z,192.168.89.2,8.8.8.8,1,udp
135,2015-10-20 15:34:12 Z,10.10.10.20,10.10.10.10,94847,tcp
136,2015-10-20 15:34:12 Z,10.10.10.10,10.10.10.30,2,tcp
137,2015-10-20 15:34:12 Z,10.10.10.30,10.10.10.10,4,tcp
138,2015-10-20 15:34:13 Z,10.10.10.10,10.10.10.30,2,tcp
139,2015-10-20 15:34:13 Z,10.10.10.30,10.10.10.10,4,tcp
140,2015-10-20 15:34:14 Z,10.10.10.10,10.10.10.30,2,tcp
141,2015-10-20 15:34:14 Z,10.10.10.30,10.10.10.10,4,tcp
142,2015-10-20 15:34:15 Z,10.10.10.10,10.10.10.30,2,tcp
143,2015-10-20 15:34:15 Z,10.10.10.30,10.10.10.10,4,tcp
144,2015-10-20 15:34:16 Z,10.10.10.10,10.10.10.30,2,tcp
145,2015-10-20 15:34:16 Z,10.10.10.30,10.10.10.10,4,tcp
146,2015-10-20 15:34:17 Z,10.10.10.10,10.10.10.30,2,tcp
147,2015-10-20 15:34:17 Z,10.10.10.30,10.10.10.10,4,tcp
148,2015-10-20 15:34:17 Z,10.10.10.10,10.10.10.30,2,tcp
149,2015-10-20 15:34:18 Z,10.10.10.10,10.10.10.30,2,tcp
150,2015-10-20 15:34:18 Z,10.10.10.30,10.10.10.10,4,tcp
151,2015-10-20 15:34:19 Z,10.10.10.10,10.10.10.30,2,tcp
